id,activity,title,creator,assignee,status,type,message_count
32388,2018-06-19.09:11:17,Remove cross-version binary compatibility,2040,None,1,5,8.0
33898,2018-06-19.08:40:22,pathlib issues with Windows device paths,16413,None,1,5,1.0
33899,2018-06-19.07:41:52,"Tokenize module does not mirror ""end-of-input"" is newline behavior",24221,24221,1,5,1.0
20180,2018-06-19.07:37:34,Derby #11: Convert 50 sites to Argument Clinic across 9 files,2731,None,1,6,54.0
32962,2018-06-19.07:03:32,test_gdb fails in debug build with `-mcet -fcf-protection -O0`,25544,None,1,None,22.0
33897,2018-06-18.20:39:17,Add a restart option to logging.basicConfig(),114,328,1,6,1.0
23660,2018-06-18.16:02:56,Turtle left/right inverted when using different coordinates orientation,4475,None,1,5,4.0
33830,2018-06-18.15:37:01,Error in the output of one example in the httplib docs,28560,12260,1,None,3.0
29750,2018-06-18.15:35:03,smtplib doesn't handle unicode passwords,25741,None,1,6,18.0
23395,2018-06-18.15:21:02,"_thread.interrupt_main() errors if SIGINT handler in SIG_DFL, SIG_IGN",14007,None,1,5,14.0
15474,2018-06-18.14:16:06,Differentiate decorator and decorator factory in docs,7641,12260,1,6,6.0
33661,2018-06-18.13:04:05,urllib may leak sensitive HTTP headers to a third-party web site,24459,None,1,4,5.0
33871,2018-06-18.12:56:32,Possible integer overflow in iov_setup(),15623,None,1,1,5.0
33832,2018-06-18.11:34:12,"doc Add ""magic method"" entry to Glossary",27773,12260,1,6,11.0
33876,2018-06-18.11:32:53,doc Mention relevant pythonesque implementations,27773,12260,1,6,10.0
6143,2018-06-18.08:03:25,IDLE - an extension to clear the shell window,7276,155,1,5,25.0
31817,2018-06-18.05:13:46,Compilation Error with Python 3.6.1/3.6.3 with Tkinter,27210,None,1,2,11.0
33887,2018-06-18.02:37:15,doc Add TOC in Design and History FAQ,27773,12260,1,6,3.0
33869,2018-06-18.02:36:54,"doc Add set, frozen set, and tuple entries to Glossary",27773,12260,1,6,5.0
33880,2018-06-18.02:25:28,namedtuple should use NFKD to find duplicate members,28763,None,1,5,5.0
32498,2018-06-17.19:16:00,urllib.parse.unquote raises incorrect errormessage when string parameter is bytes,27647,None,1,5,10.0
33884,2018-06-17.18:51:59,"[multiprocessing] Multiprocessing in spawn mode doesn't work when the target is a method in a unittest.TestCase subclass, when run either with unittest or with pytest",28699,None,3,5,2.0
33888,2018-06-17.18:15:21,Use CPython instead of Python when talking about implementation details,27773,12260,1,None,1.0
33886,2018-06-17.17:41:30,SSL on aiomysql hangs on reconnection,27369,None,1,5,1.0
33885,2018-06-17.17:22:16,"doc Replace ""hook function"" with ""callable"" in urllib.request.urlretrieve",27773,12260,1,6,1.0
33529,2018-06-17.17:10:26,Infinite loop on folding email if headers has no spaces,28545,None,1,5,2.0
28657,2018-06-17.15:55:48,cmd.Cmd.get_help() implementation can't see do_*() methods added dynamically by setattr(),24928,None,1,5,3.0
33220,2018-06-17.14:37:10,Antivirus hits on python-2.7.14.amd64.msi file,28219,None,1,5,2.0
33309,2018-06-17.14:17:42,Unittest Mock objects do not freeze arguments they are called with,28334,None,1,5,2.0
33095,2018-06-17.13:42:56,Cross-reference isolated mode from relevant locations,1309,12260,1,6,3.0
33878,2018-06-17.10:47:16,Doc: Assignment statement to tuple or list: case missing.,23063,12260,1,6,4.0
21145,2018-06-17.10:20:23,Add the @cached_property decorator,19347,None,1,6,41.0
33780,2018-06-17.10:09:33,[subprocess] Better Unicode support for shell=True on Windows,28699,None,1,6,4.0
33576,2018-06-17.09:03:07,Make exception wrapping less intrusive for __set_name__ calls,1309,None,1,6,6.0
33809,2018-06-17.08:47:05,Expose `capture_locals` parameter in `traceback` convenience functions,21949,None,1,None,2.0
33586,2018-06-17.07:11:41,2.7.15 missing release notes on download page,8688,None,1,None,2.0
14117,2018-06-17.06:37:31,Turtledemo: exception and minor glitches.,155,155,1,5,9.0
33883,2018-06-17.00:53:45,"doc Mention mypy, pytype and PyAnnotate in FAQ",27773,12260,1,6,1.0
33882,2018-06-16.23:52:00,doc Mention breakpoint() in debugger-related FAQ,27773,12260,1,6,1.0
33821,2018-06-16.23:46:03,IDLE subsection of What's New 3.7,155,155,1,None,5.0
10531,2018-06-16.21:12:14,write tilted text in turtle,13387,None,1,6,6.0
29560,2018-06-16.20:14:29,Tkinter and turtle graphics fill differs between Windows and *nix,25571,12260,1,5,4.0
33881,2018-06-16.19:08:50,dataclasses should use NFKC to find duplicate members,2799,2799,1,None,1.0
6717,2018-06-16.17:51:56,Some problem with recursion handling,2709,None,1,1,20.0
33877,2018-06-16.15:55:33,doc Mention Windows along UNIX for script running instructions,27773,12260,1,6,1.0
26571,2018-06-16.15:40:09,turtle regression in 3.5,23607,15623,1,5,4.0
27461,2018-06-16.15:37:41,Optimize PNGs,2449,12260,1,6,5.0
21077,2018-06-16.15:14:42,Turtle Circle Speed 0,19310,None,1,5,3.0
16428,2018-06-16.15:12:16,turtle with compound shape doesn't get clicks,16841,None,1,5,5.0
21914,2018-06-16.14:50:45,Create unit tests for Turtle guionly,19178,None,1,None,6.0
11380,2018-06-16.10:13:08,Improve reporting of broken stdout pipe during interpreter shutdown,13572,None,1,5,16.0
33864,2018-06-16.07:26:50,collections.abc.ByteString does not register memoryview,24052,12260,1,5,3.0
33859,2018-06-16.07:06:20,Spelling mistakes found using aspell,28746,12260,1,6,6.0
33826,2018-06-15.23:36:26,enable discovery of class source code in IPython interactively defined classes,28729,None,1,6,7.0
32718,2018-06-15.21:48:50,Install PowerShell activation scripts for venv for all platforms,37,37,1,6,3.0
33870,2018-06-15.19:05:55,pdb continue + breakpoint,28757,None,1,6,1.0
33867,2018-06-15.19:02:13,Module dicts are wiped on module garbage collection,28754,None,1,5,2.0
33823,2018-06-15.17:38:44,A BUG in concurrent/asyncio,28728,None,1,5,5.0
33868,2018-06-15.14:48:16,test__xxsubinterpreters: test_subinterpreter() fails randomly on AMD64 Ubuntu Shared 3.x,2377,14000,1,None,2.0
24415,2018-06-15.11:27:53,SIGINT always reset to SIG_DFL by Py_Finalize(),21963,None,1,5,2.0
14102,2018-06-15.11:04:11,argparse: add ability to create a man page,15539,None,1,6,33.0
33625,2018-06-15.10:41:52,"Release GIL for grp.getgr{nam,gid} and pwd.getpw{nam,uid}",18594,None,1,5,10.0
33851,2018-06-15.08:25:21,3.7 regression: ast.get_docstring() for a node that lacks a docstring,697,5248,1,5,4.0
33032,2018-06-15.08:03:42,Mention implicit cache in struct.Struct docs,1309,12260,1,6,2.0
32839,2018-06-15.05:40:58,Add after_info as a function to tkinter,25861,None,1,6,15.0
19102,2018-06-15.04:34:31,Add tests for CLI of the tabnanny module,14674,14674,1,6,6.0
27575,2018-06-15.02:41:28,dict viewkeys intersection slow for large dicts,24286,114,1,7,10.0
33721,2018-06-14.22:50:48,os.path.exists() ought to return False if pathname contains NUL,28655,None,1,6,12.0
32604,2018-06-14.22:25:04,Expose the subinterpreters C-API in Python for testing use.,14000,14000,1,6,46.0
24553,2018-06-14.22:24:48,improve test coverage for subinterpreters,14000,None,1,None,14.0
20187,2018-06-14.17:51:04,The Great Argument Clinic Conversion Derby Meta-Issue,2731,2731,1,6,9.0
8488,2018-06-14.17:48:44,"Docstrings of non-data descriptors ""ignored""",11881,None,1,5,5.0
20181,2018-06-14.17:29:35,Derby #12: Convert 50 sites to Argument Clinic across 4 files,2731,None,1,6,9.0
20177,2018-06-14.17:28:59,Derby #8: Convert 28 sites to Argument Clinic across 2 files,2731,None,1,6,18.0
31861,2018-06-14.15:10:54,aiter() and anext() built-in functions,13388,None,1,None,7.0
33829,2018-06-14.13:56:08,C API: provide new object protocol helper,28730,None,1,6,3.0
33718,2018-06-14.12:58:24,Enhance regrtest: meta-ticket for multiple changes,2377,None,1,6,11.0
33857,2018-06-14.10:37:39,python exception on Solaris : code for hash blake2b was not found,28747,None,1,5,1.0
20341,2018-06-14.10:31:18,"Argument Clinic: add ""nullable ints""",2731,2731,1,6,37.0
24009,2018-06-14.10:29:46,Get rid of rare format units in PyArg_Parse*,15623,15623,1,6,9.0
24145,2018-06-14.10:28:23,Support |= for parameters in converters,2731,2731,1,6,5.0
33462,2018-06-14.10:15:40,reversible dict,22794,None,1,6,25.0
1529353,2018-06-14.05:44:56,Squeezer - squeeze large output in the interpreter,2557,155,1,6,36.0
33726,2018-06-14.03:01:29,Add short descriptions to PEP references in seealso,27773,12260,1,6,3.0
26544,2018-06-13.17:51:27,platform.libc_ver() returns incorrect version number,17551,None,1,5,8.0
33351,2018-06-13.10:29:58,Support compiling with clang-cl on Windows,24787,None,1,6,10.0
33656,2018-06-13.05:10:31,IDLE: Turn on DPI awareness on Windows,155,155,1,6,33.0
33840,2018-06-13.04:53:20,connection limit on listening socket in asyncio,28720,None,1,6,3.0
2053,2018-06-13.04:47:24,IDLE - standardize dialogs,2557,155,1,6,21.0
25246,2018-06-12.23:22:33,Alternative algorithm for deque_remove(),114,114,1,None,3.0
32108,2018-06-12.20:37:57,configparser bug: section is emptied if you assign a section to itself,20392,None,1,5,5.0
33660,2018-06-12.16:12:25,pathlib.Path.resolve() returns path with double slash when resolving a relative path in root directory,27384,None,1,5,3.0
23346,2018-06-12.14:01:43,shutil.rmtree doesn't work correctly on FreeBSD.,20748,None,1,5,10.0
33587,2018-06-12.13:06:48,inspect.getsource performs unnecessary filesystem stat call,28490,None,1,7,4.0
27687,2018-06-12.10:30:13,Linux shutil.move between mountpoints as root does not retain ownership,17316,None,1,6,3.0
15100,2018-06-12.10:25:21,"Race conditions in shutil.copy, shutil.copy2 and shutil.copyfile",16168,None,1,4,5.0
11989,2018-06-12.10:23:36,deprecate shutil.copy2,14221,None,1,6,4.0
10016,2018-06-12.10:21:52,shutil.copyfile -- allow sparse copying,13084,4555,1,6,8.0
29699,2018-06-12.10:20:29,shutil.rmtree should not fail with FileNotFoundError (race condition),18393,None,1,1,3.0
30400,2018-06-12.10:10:13,Race condition in shutil.copyfile(),26159,None,1,4,3.0
30044,2018-06-12.10:09:43,"shutil.copystat should (allow to) copy ownership, and other attributes",25944,None,1,6,2.0
20849,2018-06-12.09:43:10,add exist_ok to shutil.copytree,19101,None,1,6,11.0
32073,2018-06-12.09:41:30,Add copy_directory_metadata parameter to shutil.copytree,15792,None,1,6,2.0
32347,2018-06-12.09:40:25,System Integrity Protection breaks shutil.copystat(),27577,None,1,5,1.0
32557,2018-06-12.09:39:41,allow shutil.disk_usage to take a file path on Windows also,16413,None,1,6,3.0
30235,2018-06-12.09:37:54,"Validate shutil supports path-like objects, update docs accordingly",37,None,1,5,1.0
33842,2018-06-12.09:36:03,Remove tarfile.filemode,10371,None,1,None,1.0
32453,2018-06-12.09:35:52,shutil.rmtree can have O(n^2) performance on large dirs,11208,None,1,6,11.0
33476,2018-06-12.08:18:19,"String index out of range in get_group(), email/_header_value_parser.py",28510,None,1,5,6.0
31432,2018-06-12.01:45:03,Documention for CERT_OPTIONAL is misleading,3108,12260,1,5,7.0
33482,2018-06-11.21:45:14,codecs.StreamRecoder.writelines is broken,22444,None,1,None,2.0
33838,2018-06-11.17:49:58,Very slow upload with http.client on Windows when setting timeout,28732,None,1,7,1.0
33837,2018-06-11.16:01:34,Closing asyncio.Server on asyncio.ProactorEventLoop causes all active servers to stop listening,27641,None,1,5,2.0
33833,2018-06-11.14:46:44,ProactorEventLoop raises AssertionError,25985,None,1,5,2.0
24403,2018-06-11.14:18:30,Missing fixer for changed round() behavior,21956,None,1,5,6.0
33834,2018-06-11.14:03:22,Test for ProactorEventLoop logs InvalidStateError,25985,None,1,5,1.0
33738,2018-06-11.12:01:50,PyIndex_Check conflicts with PEP 384,17994,None,1,2,24.0
1927,2018-06-11.11:50:36,Change input() to always prompt to stderr,15,None,1,5,24.0
32469,2018-06-11.07:52:58,Generator and coroutine repr could be more helpful,2040,None,1,6,3.0
24356,2018-06-11.07:41:50,venv documentation incorrect / misleading,19650,12260,1,6,8.0
33687,2018-06-11.06:23:53,uu.py calls os.path.chmod which doesn't exist,16416,None,1,5,12.0
33578,2018-06-11.06:12:03,cjkcodecs missing getstate and setstate implementations,28513,None,1,6,5.0
30167,2018-06-11.05:52:17,site.main() does not work on Python 3.6 and superior if PYTHONSTARTUP is set,16519,None,1,5,9.0
22454,2018-06-10.23:00:55,Adding the opposite function of shlex.split(),12509,None,1,6,8.0
13153,2018-06-10.21:10:36,IDLE 3.x on Windows crashes when pasting non-BMP unicode,13999,15623,1,5,52.0
23831,2018-06-10.20:34:38,tkinter canvas lacks of moveto method.,21129,None,1,6,2.0
33610,2018-06-10.20:11:23,IDLE: Make multiple improvements to CodeContext,155,155,1,6,21.0
33820,2018-06-10.19:34:11,IDLE subsection of What's New 3.6,155,155,1,None,7.0
33817,2018-06-10.17:53:53,PyString_FromFormatV() fails to build empty strings,28724,15623,1,5,3.0
33822,2018-06-10.17:32:26,IDLE subsection of What's New 3.8,155,155,1,None,1.0
33573,2018-06-10.13:17:23,"statistics.median does not work with ordinal scale, add doc",22511,12260,1,6,7.0
32561,2018-06-10.12:12:30,Add API to io objects for non-blocking reads/writes,9811,None,1,None,12.0
33805,2018-06-10.06:15:29,dataclasses: replace() give poor error message if using InitVar,2799,2799,1,5,2.0
33762,2018-06-10.01:43:55,temp file isn't IOBase,25942,None,1,5,3.0
33811,2018-06-10.00:11:37,asyncio accepting connection limit,28720,None,1,5,3.0
33816,2018-06-09.20:06:49,New metaclass example for Data Model topic,27773,12260,1,6,4.0
33813,2018-06-09.16:46:24,Update overdue 'Deprecated ... removed in 3.x' messages,155,None,1,None,1.0
33757,2018-06-09.16:25:31,Failed separate test_pdb_next_command_in_generator_for_loop in test_pdb,15623,None,1,5,2.0
31007,2018-06-09.16:25:13,ERROR: test_pipe_handle (test.test_asyncio.test_windows_utils.PipeTests) expected ERROR_INVALID_HANDLE on x86 Windows7 3.x,2377,None,1,None,2.0
31711,2018-06-09.14:03:22,"ssl.SSLSocket.send(b"""") fails",26140,12260,1,5,5.0
26175,2018-06-09.12:25:56,Fully implement IOBase abstract on SpooledTemporaryFile,23280,None,1,5,5.0
33331,2018-06-09.04:38:42,Clean modules in the reversed order,15623,None,1,None,3.0
24622,2018-06-08.20:55:26,tokenize.py: missing EXACT_TOKEN_TYPES,11089,None,1,5,14.0
33082,2018-06-08.19:47:47,multiprocessing docs bury very important 'callback=' args,28110,12260,1,6,6.0
28557,2018-06-08.18:27:55,error message for bad raw readinto,19739,None,1,None,1.0
33779,2018-06-08.16:55:04,Error while installing python 3.6.5 on windows 10,28700,None,1,1,10.0
33736,2018-06-08.15:54:34,Improve the documentation of asyncio stream API,12189,12260,1,6,2.0
33106,2018-06-08.13:34:19,"Deleting a key in a read-only gdbm results in KeyError, not gdbm.error",26255,None,1,5,4.0
33808,2018-06-08.12:59:14,ssl.get_server_certificate fails with openssl 1.1.0 but works with 1.0.2g for self-signed certificate,28718,3108,1,1,1.0
33531,2018-06-08.06:59:54,test_asyncio: test_subprocess test_stdin_broken_pipe() failure on Travis CI,2377,None,1,None,11.0
30928,2018-06-08.06:32:32,Copy modified blurbs to idlelib/NEWS.txt for 3.7.0,155,155,1,6,37.0
33804,2018-06-08.00:51:59,Document the default value of the size parameter of io.TextIOBase.read,27773,12260,1,6,1.0
33609,2018-06-08.00:38:25,Document that dicts preserve insertion order,16198,12260,1,None,9.0
33722,2018-06-07.19:13:50,Document builtins in mock_open,27635,12260,1,6,1.0
33787,2018-06-07.18:22:00,Argument clinic and Windows line endings,3080,2731,1,None,2.0
33797,2018-06-07.16:32:41,json int encoding incorrect for dbus.Byte,28711,None,1,5,1.0
33793,2018-06-07.10:44:35,asyncio: _ProactorReadPipeTransport reads by chunk of 32 KiB: chunk size should be configurable,2377,None,1,7,1.0
29235,2018-06-07.09:46:45,Allow profile/cProfile to be used as context managers,25321,None,1,6,9.0
30861,2018-06-07.09:15:04,StreamReader does not return reamaing and ready data buffer before raise the Exeption,26204,None,1,None,20.0
33023,2018-06-07.07:06:18,Unable to copy ssl.SSLContext,28066,3108,1,5,18.0
33138,2018-06-07.07:04:46,Improve standard error for uncopyable types,15623,None,1,6,2.0
21196,2018-06-07.05:17:27,Name mangling example in Python tutorial,19382,12260,1,6,10.0
30773,2018-06-07.05:02:30,async generator receives wrong value when shared between coroutines,14846,16198,1,5,7.0
31202,2018-06-07.03:50:26,Windows pathlib.Path.glob(pattern) fixed part of the pattern changed to lowercase whereas it should be unchanged.,26792,None,1,5,1.0
33788,2018-06-06.19:58:47,Argument clinic: use path_t in _winapi.c,3080,None,1,None,1.0
33777,2018-06-06.19:04:03,dummy_threading: .is_alive method returns True after execution has completed,28698,None,1,5,2.0
33774,2018-06-06.13:48:39,Document that @lru_cache caches based on exactly how the function arguments are specified,28693,114,1,None,4.0
16865,2018-06-06.04:42:45,ctypes arrays >=2GB in length causes exception,17098,None,1,5,15.0
33775,2018-06-05.22:28:32,argparse: the word 'default' (in help) is not marked as translatable,28690,None,1,5,2.0
28602,2018-06-05.18:37:55,`tzinfo.fromutc()` fails when used for a fold-aware tzinfo implementation,24890,1427,1,6,10.0
29298,2018-06-05.13:13:04,"argparse fails with required subparsers, un-named dest, and empty argv",9068,7641,1,5,2.0
33164,2018-06-05.09:28:32,Blake 2 module update,27678,None,1,None,None
33772,2018-06-05.09:27:42,Fix few dead code paths,27678,None,1,None,None
32523,2018-06-05.05:09:48,inconsistent spacing in changelog.html,5248,12260,1,None,7.0
29539,2018-06-05.05:02:15,[smtplib] collect response data for all recipients,22068,None,1,6,4.0
33725,2018-06-04.21:39:10,High Sierra hang when using multi-processing,28658,None,1,None,7.0
33394,2018-06-04.17:35:36,the build of the shared modules is quiet/non-visible when GNU make gets passed macros,169,None,1,None,1.0
33336,2018-06-04.15:10:24,[imaplib] MOVE is a legal command,5290,None,1,6,3.0
21142,2018-06-04.15:03:21,Daily/weekly ABI scan?,1309,None,1,6,5.0
19982,2018-06-04.12:58:12,"Add a ""target"" parameter to runpy.run_path and runpy.run_module",1309,None,1,6,4.0
33758,2018-06-04.11:04:06,Unexpected success of test_get_type_hints_modules_forwardref  in test_typing,15623,None,1,5,2.0
33713,2018-06-03.21:37:07,memoryview can set an exception in tp_clear,15623,None,1,1,14.0
32584,2018-06-03.18:53:10,Uninitialized free_extra in code_dealloc,26604,None,1,1,1.0
24215,2018-06-03.15:47:58,test_trace uses test_pprint,15623,None,1,5,10.0
33754,2018-06-03.14:53:09,f-strings should be part of the Grammar,16485,None,1,6,4.0
1648268,2018-06-03.12:33:48,Parameter list mismatches (portation problem),2998,None,1,5,7.0
33012,2018-06-03.12:32:52,Invalid function cast warnings with gcc 8 for METH_NOARGS,17770,None,1,2,30.0
33747,2018-06-03.11:59:10,Failed separate test_patch_propogrates_exc_on_exit in test_unittest,15623,None,1,5,1.0
33712,2018-06-03.07:48:26,OrderedDict can set an exception in tp_clear,15623,None,1,1,2.0
30516,2018-06-03.07:47:13,Documentation for datetime substract operation incorrect?,26257,12260,1,6,3.0
11191,2018-06-03.06:05:34,test_search_cpp error on AIX (with xlc),2630,4555,1,5,7.0
28009,2018-06-03.06:01:17,core logic of uuid.getnode() is broken for AIX - all versions,20518,None,1,5,18.0
27643,2018-06-03.05:50:28,test_ctypes fails on AIX with xlc,20518,None,1,5,26.0
33740,2018-06-02.21:10:56,"PyByteArray_AsString C-API description lacks the assurance, that the trailing null-byte is appended.",28677,12260,1,None,1.0
30416,2018-06-02.20:04:02,constant folding opens compiler to quadratic time hashing,343,4455,1,5,14.0
2506,2018-06-02.19:43:45,Add mechanism to disable optimizations,3911,None,1,6,38.0
24085,2018-06-02.18:45:38,large memory overhead when pyc is recompiled,12829,None,1,3,21.0
25237,2018-06-02.17:26:48,Add doc for tkinter commondialog.Dialog and subclasses,155,12260,1,6,4.0
30974,2018-06-02.11:58:23,Update os.samefile docstring to match documentation,26619,12260,1,5,2.0
26979,2018-06-02.10:30:09,The danger of PyType_FromSpec(),15623,12260,1,4,2.0
33709,2018-06-02.01:47:15,test.support.FS_NONASCII returns incorrect result in Windows with non-US locale,20235,None,1,5,3.0
33650,2018-06-01.19:41:05,asyncio: Prohibit adding a signal handler for SIGCHLD,16198,None,1,None,3.0
20886,2018-06-01.17:25:59,Disabling logging to ~/.python_history is not simple enough,12509,None,1,6,9.0
33665,2018-06-01.17:12:57,"tkinter.ttk.Scrollbar.fraction() is inaccurate, or at least inconsistent compared to the non ttk version",28634,None,1,5,2.0
29788,2018-06-01.17:08:56,"[Security] tarfile: Add absolute_path option to tarfile, disabled by default",2377,None,1,4,2.0
17102,2018-06-01.17:08:51,tarfile extract can write files outside the destination path,252,None,1,4,3.0
33701,2018-06-01.16:55:26,test_datetime crashed (SIGSEGV) on Travis CI,2377,None,1,None,9.0
33649,2018-06-01.16:52:48,asyncio docs overhaul,16198,12260,1,6,3.0
33732,2018-06-01.14:38:38,Python 2.7.15: xml.sax.parse() closes file objects passed to it,28664,None,1,None,2.0
33731,2018-06-01.13:12:10,string formatting that produces floats with preset precision while respecting locale,28663,2799,1,6,2.0
33627,2018-06-01.12:33:47,test-complex of test_numeric_tower.test_complex() crashes intermittently on Ubuntu buildbots,2377,None,1,1,13.0
33597,2018-06-01.11:34:01,Compact PyGC_Head,10371,None,1,3,30.0
33729,2018-06-01.10:50:10,Hashlib/blake2* missing 'data' keyword argument,28662,None,1,1,1.0
33692,2018-06-01.10:29:49,Chinese characters issue with input() function,28645,None,1,5,16.0
